from,to,year,award,weight,category
Christopher Nolan,Golden Globe,2024,Golden Globe,1,writing
Christopher Nolan,BAFTA,2024,BAFTA,1,writing
Ciarán Hinds,Oscar,2022,Oscar,1,acting
Ciarán Hinds,Golden Globe,2022,Golden Globe,1,acting
Cillian Murphy,Oscar,2024,Oscar,2,acting
Cillian Murphy,Golden Globe,2024,Golden Globe,2,acting
Cillian Murphy,BAFTA,2024,BAFTA,2,acting
Clarence Maclin,Oscar,2025,Oscar,1,writing
Clarence Maclin,BAFTA,2025,BAFTA,1,writing
Clint Bentley,Oscar,2025,Oscar,1,writing
Clint Bentley,BAFTA,2025,BAFTA,1,writing
Colin Farrell,Oscar,2023,Oscar,1,acting
Colin Farrell,Golden Globe,2023,Golden Globe,2,acting
Colin Farrell,BAFTA,2023,BAFTA,1,acting
Colin Farrell,Golden Globe,2025,Golden Globe,2,acting
Colin Firth,Golden Globe,2023,Golden Globe,1,acting
Colm Bairéad,BAFTA,2023,BAFTA,1,writing
Colman Domingo,Oscar,2024,Oscar,1,acting
Colman Domingo,Golden Globe,2024,Golden Globe,1,acting
Colman Domingo,BAFTA,2024,BAFTA,1,acting
Colman Domingo,Oscar,2025,Oscar,1,acting
Colman Domingo,Golden Globe,2025,Golden Globe,1,acting
Colman Domingo,BAFTA,2025,BAFTA,1,acting
Cooper Hoffman,Golden Globe,2022,Golden Globe,1,acting
Cooper Koch,Golden Globe,2025,Golden Globe,1,acting
Coralie Fargeat,Oscar,2025,Oscar,1,directing
Coralie Fargeat,Golden Globe,2025,Golden Globe,1,directing
Coralie Fargeat,BAFTA,2025,BAFTA,1,directing
Coralie Fargeat,Oscar,2025,Oscar,1,writing
Coralie Fargeat,Golden Globe,2025,Golden Globe,1,writing
Coralie Fargeat,BAFTA,2025,BAFTA,1,writing
Cord Jefferson,Oscar,2024,Oscar,2,writing
Cord Jefferson,BAFTA,2024,BAFTA,2,writing
Cristin Milioti,Golden Globe,2025,Golden Globe,1,acting
Cynthia Erivo,Golden Globe,2022,Golden Globe,1,acting
Cynthia Erivo,Oscar,2025,Oscar,1,acting
Cynthia Erivo,Golden Globe,2025,Golden Globe,1,acting
Cynthia Erivo,BAFTA,2025,BAFTA,1,acting
Da'Vine Joy Randolph,Oscar,2024,Oscar,2,acting
Da'Vine Joy Randolph,Golden Globe,2024,Golden Globe,2,acting
Daisy Edgar-Jones,Golden Globe,2023,Golden Globe,1,acting
Dakota Fanning,Golden Globe,2025,Golden Globe,1,acting
Daniel Craig,Golden Globe,2023,Golden Globe,1,acting
Daniel Craig,Golden Globe,2025,Golden Globe,1,acting
Daniel Kwan,Oscar,2023,Oscar,2,directing
Daniel Kwan,Golden Globe,2023,Golden Globe,1,directing
Daniel Kwan,BAFTA,2023,BAFTA,1,directing
Daniel Kwan,Oscar,2023,Oscar,2,writing
Daniel Kwan,Golden Globe,2023,Golden Globe,1,writing
Daniel Kwan,BAFTA,2023,BAFTA,1,writing
Daniel Scheinert,Oscar,2023,Oscar,2,directing
Daniel Scheinert,Golden Globe,2023,Golden Globe,1,directing
Daniel Scheinert,BAFTA,2023,BAFTA,1,directing
Daniel Scheinert,Oscar,2023,Oscar,2,writing
Daniel Scheinert,Golden Globe,2023,Golden Globe,1,writing
Daniel Scheinert,BAFTA,2023,BAFTA,1,writing
Danielle Brooks,Oscar,2024,Oscar,1,acting
Danielle Brooks,Golden Globe,2024,Golden Globe,1,acting
Danielle Deadwyler,BAFTA,2023,BAFTA,1,acting
Daryl McCormack,BAFTA,2023,BAFTA,1,acting
David Hemingson,Oscar,2024,Oscar,1,writing
David Hemingson,BAFTA,2024,BAFTA,1,writing
David Oyelowo,Golden Globe,2024,Golden Globe,1,acting
David Sirota,Oscar,2022,Oscar,1,writing
Demi Moore,Oscar,2025,Oscar,1,acting
Demi Moore,Golden Globe,2025,Golden Globe,2,acting
Demi Moore,BAFTA,2025,BAFTA,1,acting
Denis Villeneuve,Golden Globe,2022,Golden Globe,1,directing
Denis Villeneuve,Oscar,2022,Oscar,1,writing
Denis Villeneuve,BAFTA,2022,BAFTA,1,writing
Denis Villeneuve,BAFTA,2025,BAFTA,1,directing
Denzel Washington,Golden Globe,2025,Golden Globe,1,acting
Denzel Washington,Oscar,2022,Oscar,2,acting
Denzel Washington,Golden Globe,2022,Golden Globe,1,acting
Diego Calva,Golden Globe,2023,Golden Globe,1,acting
Diego Luna,Golden Globe,2023,Golden Globe,1,acting
Diego Luna,Golden Globe,2025,Golden Globe,1,acting
Dolly de Leon,Golden Globe,2023,Golden Globe,1,acting
Domhnall Gleeson,Golden Globe,2023,Golden Globe,1,acting
Dominic West,Golden Globe,2024,Golden Globe,1,acting
Donald Glover,Golden Globe,2023,Golden Globe,1,acting
Donald Glover,Golden Globe,2025,Golden Globe,1,acting
Ebon Moss–Bachrach,Golden Globe,2025,Golden Globe,1,acting
Ebon Moss–Bachrach,Golden Globe,2024,Golden Globe,1,acting
Eddie Redmayne,Golden Globe,2025,Golden Globe,1,acting
Eddie Redmayne,Golden Globe,2023,Golden Globe,1,acting
Edward Berger,BAFTA,2023,BAFTA,2,directing
Edward Berger,Oscar,2023,Oscar,1,writing
Edward Berger,BAFTA,2023,BAFTA,2,writing
Edward Berger,Golden Globe,2025,Golden Globe,1,directing
Edward Berger,BAFTA,2025,BAFTA,1,directing
Edward Norton,Oscar,2025,Oscar,1,acting
Edward Norton,Golden Globe,2025,Golden Globe,1,acting
Ehren Kruger ,Oscar,2023,Oscar,1,writing
Elisabeth Moss,Golden Globe,2022,Golden Globe,1,acting
Elizabeth Debicki,Golden Globe,2024,Golden Globe,2,acting
Elizabeth Debicki,Golden Globe,2023,Golden Globe,1,acting
Elizabeth Olsen,Golden Globe,2024,Golden Globe,1,acting
Elizabeth Olsen,Golden Globe,2022,Golden Globe,1,acting
Elle Fanning,Golden Globe,2024,Golden Globe,1,acting
Elle Fanning,Golden Globe,2022,Golden Globe,1,acting
Emilia Jones,BAFTA,2022,BAFTA,1,acting
Emily Blunt,Oscar,2024,Oscar,1,acting
Emily Blunt,Golden Globe,2024,Golden Globe,1,acting
Emma D’Arcy,Golden Globe,2025,Golden Globe,1,acting
Emma D’Arcy,Golden Globe,2023,Golden Globe,1,acting
Emma Stone,Golden Globe,2022,Golden Globe,1,acting
Emma Stone,Oscar,2024,Oscar,2,acting
Emma Stone,Golden Globe,2024,Golden Globe,2,acting
Emma Stone,BAFTA,2024,BAFTA,2,acting
Emma Thompson,Golden Globe,2023,Golden Globe,1,acting
Emma Thompson,BAFTA,2023,BAFTA,1,acting
Eric Roth,Oscar,2022,Oscar,1,writing
Eric Roth,BAFTA,2022,BAFTA,1,writing
Eric Roth,Golden Globe,2024,Golden Globe,1,writing
Eric Warren Singer,Oscar,2023,Oscar,1,writing
Eskil Vogt,Oscar,2022,Oscar,1,writing
Evan Peters,Golden Globe,2023,Golden Globe,2,acting
Ewan McGregor,Golden Globe,2025,Golden Globe,1,acting
Ewan McGregor,Golden Globe,2022,Golden Globe,1,acting
F. Murray Abraham,Golden Globe,2023,Golden Globe,1,acting
Fantasia Barrino,BAFTA,2024,BAFTA,1,acting
Fantasia Barrino,Golden Globe,2024,Golden Globe,1,acting
Felicity Jones,Oscar,2025,Oscar,1,acting
Felicity Jones,Golden Globe,2025,Golden Globe,1,acting
Fernanda Torres,Oscar,2025,Oscar,1,acting
Fernanda Torres,Golden Globe,2025,Golden Globe,2,acting
Gabriel LaBelle,Golden Globe,2025,Golden Globe,1,acting
Gary Oldman,Golden Globe,2025,Golden Globe,1,acting
Gary Oldman,Golden Globe,2024,Golden Globe,1,acting
Gi Prince-Bythewood,BAFTA,2023,BAFTA,1,directing
Glen Powell,Golden Globe,2025,Golden Globe,1,acting
Greg Kwedar,Oscar,2025,Oscar,1,writing
Greg Kwedar,BAFTA,2025,BAFTA,1,writing
Greta Gerwig,Golden Globe,2024,Golden Globe,1,directing
Greta Gerwig,Oscar,2024,Oscar,1,writing
Greta Gerwig,Golden Globe,2024,Golden Globe,1,writing
Greta Gerwig,BAFTA,2024,BAFTA,1,writing
Greta Lee,Golden Globe,2024,Golden Globe,1,acting
Guy Pearce,Oscar,2025,Oscar,1,acting
Guy Pearce,Golden Globe,2025,Golden Globe,1,acting
Hannah Einbinder,Golden Globe,2025,Golden Globe,1,acting
Hannah Einbinder,Golden Globe,2023,Golden Globe,1,acting
Hannah Einbinder,Golden Globe,2022,Golden Globe,1,acting
Hannah Waddingham,Golden Globe,2024,Golden Globe,1,acting
Hannah Waddingham,Golden Globe,2022,Golden Globe,1,acting
Harrison Ford,Golden Globe,2025,Golden Globe,1,acting
Helen Mirren,Golden Globe,2024,Golden Globe,1,acting
Henry Winkler,Golden Globe,2023,Golden Globe,1,acting
Hilary Swank,Golden Globe,2023,Golden Globe,1,acting
Hiroyuki Sanada,Golden Globe,2025,Golden Globe,2,acting
Hong Chau,Oscar,2023,Oscar,1,acting
Hugh Grant,Golden Globe,2025,Golden Globe,1,acting
Hugh Grant,BAFTA,2025,BAFTA,1,acting
Hugh Jackman,Golden Globe,2023,Golden Globe,1,acting
Ian Stokell,Oscar,2023,Oscar,1,writing
Ian Stokell,BAFTA,2023,BAFTA,2,writing
Imelda Staunton,Golden Globe,2024,Golden Globe,2,acting
Imelda Staunton,Golden Globe,2023,Golden Globe,1,acting
Isabella Rossellini,Oscar,2025,Oscar,1,acting
Isabella Rossellini,Golden Globe,2025,Golden Globe,1,acting
Issa Rae,Golden Globe,2022,Golden Globe,1,acting
J. Smith-Cameron,Golden Globe,2024,Golden Globe,1,acting
J.J. Ó Dochartaigh,BAFTA,2025,BAFTA,1,writing
J.K. Simmons,Oscar,2022,Oscar,1,acting
Jack Lowden,Golden Globe,2025,Golden Globe,1,acting
Jacques Audiard,Oscar,2025,Oscar,1,directing
Jacques Audiard,Golden Globe,2025,Golden Globe,1,directing
Jacques Audiard,BAFTA,2025,BAFTA,1,directing
Jacques Audiard,Oscar,2025,Oscar,1,writing
Jacques Audiard,Golden Globe,2025,Golden Globe,1,writing
Jacques Audiard,BAFTA,2025,BAFTA,1,writing
Jake Gyllenhaal,Golden Globe,2025,Golden Globe,1,acting
James Cameron,Golden Globe,2023,Golden Globe,1,directing
James Mangold,Oscar,2025,Oscar,1,directing
James Mangold,Oscar,2025,Oscar,1,writing
James Mangold,BAFTA,2025,BAFTA,1,writing
James Marsden,Golden Globe,2024,Golden Globe,1,acting
Jamie Dorn,Golden Globe,2022,Golden Globe,1,acting
Jamie Lee Curtis,Oscar,2023,Oscar,2,acting
Jamie Lee Curtis,Golden Globe,2023,Golden Globe,1,acting
Jane Campion,Oscar,2022,Oscar,2,directing
Jane Campion,Golden Globe,2022,Golden Globe,2,directing
Jane Campion,BAFTA,2022,BAFTA,2,directing
Jane Campion,Oscar,2022,Oscar,1,writing
Jane Campion,Golden Globe,2022,Golden Globe,1,writing
Jane Campion,BAFTA,2022,BAFTA,1,writing
Janelle James,Golden Globe,2023,Golden Globe,1,acting
Jason Segel,Golden Globe,2025,Golden Globe,1,acting
Jason Segel,Golden Globe,2024,Golden Globe,1,acting
Jason Sudeikis,Golden Globe,2024,Golden Globe,1,acting
Jason Sudeikis,Golden Globe,2022,Golden Globe,2,acting
Javier Bardem,Oscar,2022,Oscar,1,acting
Javier Bardem,Golden Globe,2022,Golden Globe,1,acting
Javier Bardem,Golden Globe,2025,Golden Globe,1,acting
Jay Cocks,Oscar,2025,Oscar,1,writing
Jay Cocks,BAFTA,2025,BAFTA,1,writing
Jean Smart,Golden Globe,2025,Golden Globe,2,acting
Jean Smart,Golden Globe,2023,Golden Globe,1,acting
Jean Smart,Golden Globe,2022,Golden Globe,2,acting
Jeff Bridges,Golden Globe,2023,Golden Globe,1,acting
Jeffrey Wright,Oscar,2024,Oscar,1,acting
Jeffrey Wright,Golden Globe,2024,Golden Globe,1,acting
Jenna Ortega,Golden Globe,2023,Golden Globe,1,acting
Jennifer Aniston,Golden Globe,2022,Golden Globe,1,acting
Jennifer Coolidge,Golden Globe,2023,Golden Globe,2,acting
Jennifer Coolidge,Golden Globe,2022,Golden Globe,1,acting
Jennifer Lawrence,Golden Globe,2022,Golden Globe,1,acting
Jennifer Lawrence,Golden Globe,2024,Golden Globe,1,acting
Jeremy Allen White,Golden Globe,2025,Golden Globe,2,acting
Jeremy Allen White,Golden Globe,2024,Golden Globe,2,acting
Jeremy Allen White,Golden Globe,2023,Golden Globe,2,acting
Jeremy Pope,Golden Globe,2023,Golden Globe,1,acting
Jeremy Strong,Golden Globe,2024,Golden Globe,1,acting
Jeremy Strong,Golden Globe,2022,Golden Globe,2,acting
Jeremy Strong,Oscar,2025,Oscar,1,acting
Jeremy Strong,Golden Globe,2025,Golden Globe,1,acting
Jesse Eisenberg,Golden Globe,2025,Golden Globe,1,acting
Jesse Eisenberg,Oscar,2025,Oscar,1,writing
Jesse Eisenberg,Golden Globe,2025,Golden Globe,1,writing
Jesse Eisenberg,BAFTA,2025,BAFTA,2,writing
Jesse Plemons,Golden Globe,2025,Golden Globe,1,acting
Jesse Plemons,Oscar,2022,Oscar,1,acting
Jessica Chastain,Golden Globe,2023,Golden Globe,1,acting
Jessica Chastain,Golden Globe,2022,Golden Globe,1,acting
Jessica Chastain,Oscar,2022,Oscar,2,acting
Jessica Chastain,Golden Globe,2022,Golden Globe,1,acting
Jessica Gunning,Golden Globe,2025,Golden Globe,2,acting
Jessie Buckley,Oscar,2022,Oscar,1,acting
Joachim Trier,Oscar,2022,Oscar,1,writing
Joan Scanlan,BAFTA,2022,BAFTA,2,acting
Joaquin Phoenix,Golden Globe,2024,Golden Globe,1,acting
Jodie Foster,Oscar,2024,Oscar,1,acting
Jodie Foster,Golden Globe,2024,Golden Globe,1,acting
Jodie Foster,Golden Globe,2025,Golden Globe,2,acting
"John ""Divine G"" Whitfield",Oscar,2025,Oscar,1,writing
"John ""Divine G"" Whitfield",BAFTA,2025,BAFTA,1,writing
John Lithgow,Golden Globe,2023,Golden Globe,1,acting
John Turturro,Golden Globe,2023,Golden Globe,1,acting
Jon Hamm,Golden Globe,2024,Golden Globe,1,acting
Jon Spaihts,Oscar,2022,Oscar,1,writing
Jon Spaihts,BAFTA,2022,BAFTA,1,writing
Jonathan Glazer,Oscar,2024,Oscar,1,directing
Jonathan Glazer,BAFTA,2024,BAFTA,1,directing
Jonathan Glazer,Oscar,2024,Oscar,1,writing
Jonathan Glazer,BAFTA,2024,BAFTA,1,writing
Jonathan Pryce,Golden Globe,2023,Golden Globe,1,acting
Josh Singer,Oscar,2024,Oscar,1,writing
Josh Singer,BAFTA,2024,BAFTA,1,writing
Joslyn Barnes,Oscar,2025,Oscar,1,writing
Joslyn Barnes,BAFTA,2025,BAFTA,1,writing
Judd Hirsch,Oscar,2023,Oscar,1,acting
Judi Dench,Oscar,2022,Oscar,1,acting
Julia Ducouru,BAFTA,2022,BAFTA,1,directing
Julia Garner,Golden Globe,2023,Golden Globe,2,acting
Julia Roberts,Golden Globe,2023,Golden Globe,1,acting
Julianne Moore,Golden Globe,2024,Golden Globe,1,acting
Juno Temple,Golden Globe,2024,Golden Globe,1,acting
Justin Marks,Oscar,2023,Oscar,1,writing
Justine Triet,Oscar,2024,Oscar,1,directing
Justine Triet,BAFTA,2024,BAFTA,1,directing
Justine Triet,Oscar,2024,Oscar,2,writing
Justine Triet,Golden Globe,2024,Golden Globe,2,writing
Justine Triet,BAFTA,2024,BAFTA,2,writing
Kaitlyn Dever,Golden Globe,2022,Golden Globe,1,acting
Kaley Cuoco,Golden Globe,2023,Golden Globe,1,acting
Kali Reis,Golden Globe,2025,Golden Globe,1,acting
Karla Sofía Gascón,Oscar,2025,Oscar,1,acting
Karla Sofía Gascón,Golden Globe,2025,Golden Globe,1,acting
Karla Sofía Gascón,BAFTA,2025,BAFTA,1,acting
Kate Winslet,Golden Globe,2025,Golden Globe,1,acting
Kate Winslet,Golden Globe,2022,Golden Globe,2,acting
Kate Winslet,Golden Globe,2025,Golden Globe,1,acting
Kathryn Hahn,Golden Globe,2025,Golden Globe,1,acting
Kathy Bates,Golden Globe,2025,Golden Globe,1,acting
Kazuo Ishiguro,Oscar,2023,Oscar,1,writing
Kazuo Ishiguro,BAFTA,2023,BAFTA,1,writing
Ke Huy Quan,Oscar,2023,Oscar,2,acting
Ke Huy Quan,Golden Globe,2023,Golden Globe,2,acting
Keira Knightley,Golden Globe,2025,Golden Globe,1,acting
Kenneth Bragh,Oscar,2022,Oscar,1,directing
Kenneth Bragh,Golden Globe,2022,Golden Globe,1,directing
Kenneth Bragh,Oscar,2022,Oscar,2,writing
Kenneth Bragh,Golden Globe,2022,Golden Globe,2,writing
Kenneth Bragh,BAFTA,2022,BAFTA,1,writing
Keri Russell,Golden Globe,2025,Golden Globe,1,acting
Keri Russell,Golden Globe,2024,Golden Globe,1,acting
Kerry Condon,Oscar,2023,Oscar,1,acting
Kerry Condon,Golden Globe,2023,Golden Globe,1,acting
Kevin Costner,Golden Globe,2023,Golden Globe,2,acting
Kevin Kline,Golden Globe,2025,Golden Globe,1,acting
Kieran Culkin,Oscar,2025,Oscar,2,acting
Kieran Culkin,Golden Globe,2025,Golden Globe,2,acting
Kieran Culkin,Golden Globe,2024,Golden Globe,2,acting
Kieran Culkin,Golden Globe,2022,Golden Globe,1,acting
Kirsten Dunst,Oscar,2022,Oscar,1,acting
Kirsten Dunst,Golden Globe,2022,Golden Globe,1,acting
Kodi Smit-McPhee,Oscar,2022,Oscar,1,acting
Kodi Smit-McPhee,Golden Globe,2022,Golden Globe,2,acting
Kristen Bell,Golden Globe,2025,Golden Globe,1,acting
Kristen Stewart,Oscar,2022,Oscar,1,acting
Kristen Stewart,Golden Globe,2022,Golden Globe,1,acting
Lady Gaga,Golden Globe,2022,Golden Globe,1,acting
Lady Gaga,BAFTA,2022,BAFTA,1,acting
Laura Linney,Golden Globe,2023,Golden Globe,1,acting
Léa Mysius,Oscar,2025,Oscar,1,writing
Lee Jung-jae,Golden Globe,2022,Golden Globe,1,acting
Leonardo DiCaprio,Golden Globe,2022,Golden Globe,1,acting
Leonardo DiCaprio,BAFTA,2022,BAFTA,1,acting
Leonardo DiCaprio,Golden Globe,2024,Golden Globe,1,acting
Lesley Manville,Golden Globe,2023,Golden Globe,1,acting
Lesley Paterson,Oscar,2023,Oscar,1,writing
Lesley Paterson,BAFTA,2023,BAFTA,2,writing
Liam Óg Ó HAnidh,BAFTA,2025,BAFTA,1,writing
Lily Gladstone,Oscar,2024,Oscar,1,acting
Lily Gladstone,Golden Globe,2024,Golden Globe,2,acting
Lily James,Golden Globe,2023,Golden Globe,1,acting
Liza Colón-Zayas,Golden Globe,2025,Golden Globe,1,acting
Maggie Gyllenhaal,Golden Globe,2022,Golden Globe,1,directing
Maggie Gyllenhaal,Oscar,2022,Oscar,1,writing
Maggie Gyllenhaal,BAFTA,2022,BAFTA,1,writing
Mahershala Ali,Golden Globe,2022,Golden Globe,1,acting
Mahershala Ali,BAFTA,2022,BAFTA,1,acting
Margaret Qualley,Golden Globe,2022,Golden Globe,1,acting
Margaret Qualley,Golden Globe,2025,Golden Globe,1,acting
Margot Robbie,Golden Globe,2023,Golden Globe,1,acting
Margot Robbie,Golden Globe,2024,Golden Globe,1,acting
Margot Robbie,BAFTA,2024,BAFTA,1,acting
Marianne Jean-Baptiste,BAFTA,2025,BAFTA,1,acting
Marion Cotillard,Golden Globe,2022,Golden Globe,1,acting
Mark Duplass,Golden Globe,2022,Golden Globe,1,acting
Mark Ruffalo,Oscar,2024,Oscar,1,acting
Mark Ruffalo,Golden Globe,2024,Golden Globe,1,acting
Martin McDonagh,Oscar,2023,Oscar,1,directing
Martin McDonagh,Golden Globe,2023,Golden Globe,1,directing
Martin McDonagh,BAFTA,2023,BAFTA,1,directing
Martin McDonagh,Oscar,2023,Oscar,1,writing
Martin McDonagh,Golden Globe,2023,Golden Globe,2,writing
Martin McDonagh,BAFTA,2023,BAFTA,2,writing
Martin Scorsese,Oscar,2024,Oscar,1,directing
Martin Scorsese,Golden Globe,2024,Golden Globe,1,directing
Martin Scorsese,Golden Globe,2024,Golden Globe,1,writing
Martin Short,Golden Globe,2025,Golden Globe,1,acting
Martin Short,Golden Globe,2024,Golden Globe,1,acting
